Company,valuation,date_Joined,industry,city,country,continent,year_founded,funding,select_investors,unicorn-year,years_to_unicorn,valuation_b,fundings_b,fundings_category,valuation_efficiency
Axonius,$3B,01-03-2021,Cybersecurity,New York,United States,North America,2017,$395M,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",2021,4,3,0.395,Low Funding,7.594936709
Clari,$3B,03-03-2021,Internet software & services,Sunnyvale,United States,North America,2012,$496M,"Sequoia Capital, Bain Capital Ventures, enaya Capital",2021,9,3,0.496,Low Funding,6.048387097
ManoMano,$3B,05-07-2021,E-commerce & direct-to-consumer,Paris,France,Europe,2013,$706M,"General Atlantic, Piton Capital, Partech Partners",2021,8,3,0.706,Medium Funding,4.249291785
Pendo,$3B,17-10-2019,Internet software & services,Raleigh,United States,North America,2013,$357M,"Contour Venture Partners, Battery Ventures, Core Capital Partners",2019,6,3,0.357,Low Funding,8.403361345
Plume,$3B,23-02-2021,Internet software & services,Palo Alto,United States,North America,2015,$722M,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",2021,6,3,0.722,Medium Funding,4.155124654
JumpCloud,$3B,13-09-2021,Data management & analytics,Louisville,United States,North America,2012,$407M,"Foundry Group, General Atlantic, BlackRock",2021,9,3,0.407,Low Funding,7.371007371
Project44,$3B,01-06-2021,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,$818M,"Emergence Capital Partners, 8VC, Chicago Ventures",2021,7,3,0.818,Medium Funding,3.667481663
Sourcegraph,$3B,13-07-2021,Internet software & services,San Francisco,United States,North America,2013,$248M,"Redpoint Ventures, Goldcrest Capital, Insight Partners",2021,8,3,0.248,Low Funding,12.09677419
OwnBackup,$3B,28-01-2021,Data management & analytics,Englewood Cliffs,United States,North America,2015,$507M,"Insight Partners, Salesforce Ventures, Vertex Ventures",2021,6,3,0.507,Medium Funding,5.917159763
Starburst,$3B,06-01-2021,Data management & analytics,Boston,United States,North America,1999,$414M,"Index Ventures, Coatue Management, Andreessen Horowitz",2021,22,3,0.414,Low Funding,7.246376812
Youxia Motors,$3B,02-04-2018,Auto & transportation,Shanghai,China,Asia,2014,$1B,"China Environmental Protection Industry, China Fortune Ocean",2018,4,3,1,Medium Funding,3
Zetwerk,$3B,20-08-2021,Internet software & services,Bengaluru,India,Asia,2018,$543M,"Sequoia Capital India, Kae Capital, Accel",2021,3,3,0.543,Medium Funding,5.524861878
Cars24,$3B,24-11-2020,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,$1B,"Moore Strategic Ventures, DST Global, Sequoia Capital India",2020,5,3,1,Medium Funding,3
Ethos,$3B,11-05-2021,Fintech,San Francisco,United States,North America,2016,$407M,"Sequoia Capital, Google Ventures, Accel",2021,5,3,0.407,Low Funding,7.371007371
Komodo Health,$3B,22-05-2020,Health,San Francisco,United States,North America,2014,$314M,"Andreessen Horowitz, IA Ventures, Felicis Ventures",2020,6,3,0.314,Low Funding,9.554140127
Nextiva,$3B,14-09-2021,Internet software & services,Scottsdale,United States,North America,2008,$200M,Goldman Sachs Asset Management,2021,13,3,0.2,Low Funding,15
o9 Solutions,$3B,28-04-2020,Artificial intelligence,Dallas,United States,North America,2009,$417M,KKR,2020,11,3,0.417,Low Funding,7.194244604
Scopely,$3B,29-10-2019,Mobile & telecommunications,Culver City,United States,North America,2011,$999M,"Greycroft, Sands Capital, Revolution Growth",2019,8,3,0.999,Medium Funding,3.003003003
Sila Nanotechnologies,$3B,16-04-2019,Other,Alameda,United States,North America,2011,$880M,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",2019,8,3,0.88,Medium Funding,3.409090909
Via,$3B,30-03-2020,Auto & transportation,New York,United States,North America,2012,$777M,"83North, RiverPark Ventures, Pitango Venture Capital",2020,8,3,0.777,Medium Funding,3.861003861
Transmit Security,$3B,22-06-2021,Cybersecurity,Tel Aviv,Israel,Asia,2014,$583M,"General Atlantic, Insight Partners, Vintage Investment Partners",2021,7,3,0.583,Medium Funding,5.145797599
BlockDaemon,$3B,21-09-2021,Fintech,Los Angeles,United States,North America,2016,$398M,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",2021,5,3,0.398,Low Funding,7.537688442
Convoy,$3B,21-09-2018,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,$666M,"Greylock Partners, capitalG, Y Combinator",2018,3,3,0.666,Medium Funding,4.504504505
Dream Games,$3B,30-06-2021,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,$468M,"Makers Fund, Index Ventures, Inova Ventures Participacees",2021,2,3,0.468,Low Funding,6.41025641
Illumio,$3B,14-04-2015,Cybersecurity,Sunnyvale,United States,North America,2013,$558M,"Data Collective, Formation 8, General Catalyst Partners",2015,2,3,0.558,Medium Funding,5.376344086
MasterClass,$3B,13-05-2021,Edtech,San Francisco,United States,North America,2015,$461M,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",2021,6,3,0.461,Low Funding,6.507592191
Graphcore,$3B,18-12-2018,Artificial intelligence,Bristol,United Kingdom,Europe,2016,$682M,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",2018,2,3,0.682,Medium Funding,4.398826979
ApplyBoard,$3B,05-05-2020,Edtech,Kitchener,Canada,North America,2015,$483M,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",2020,5,3,0.483,Low Funding,6.211180124
Blockstream,$3B,24-08-2021,Fintech,Vancouver,Canada,North America,2014,$299M,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",2021,7,3,0.299,Low Funding,10.03344482
Cedar,$3B,09-03-2021,Fintech,New York,United States,North America,2016,$326M,"Thrive Capital, Founders Fund, Cocnord Health Partners",2021,5,3,0.326,Low Funding,9.202453988
ContentSquare,$3B,25-05-2021,Internet software & services,Paris,France,Europe,2012,$812M,"Highland Europe, Eurazeo, Canaan Partners",2021,9,3,0.812,Medium Funding,3.694581281
Eruditus Executive Education,$3B,12-08-2021,Edtech,Mumbai,India,Asia,2010,$591M,"Sequoia Capital India, Softbank, Bertelsmann India Investments",2021,11,3,0.591,Medium Funding,5.076142132
Innovaccer,$3B,19-02-2021,Health,San Francisco,United States,North America,2014,$379M,"M12, WestBridge Capital, Lightspeed Venture Partners",2021,7,3,0.379,Low Funding,7.915567282
Ironclad,$3B,18-01-2022,Internet software & services,Sacramento,United States,North America,2014,$334M,"Accel, Sequoia Capital, Y Combinator",2022,8,3,0.334,Low Funding,8.982035928
Skims,$3B,09-04-2021,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2019,$399M,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",2021,2,3,0.399,Low Funding,7.518796992
Thumbtack,$3B,29-09-2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,$698M,"Tiger Global, Sequoia Capital, Google Capital",2015,7,3,0.698,Medium Funding,4.297994269
Zipline,$3B,20-05-2019,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,2014,$483M,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",2019,5,3,0.483,Low Funding,6.211180124
BharatPe,$3B,30-07-2021,Fintech,New Delhi,India,Asia,2018,$600M,"Insight Partners, Sequoia Capital India, BEENEXT",2021,3,3,0.6,Medium Funding,5
DriveWealth,$3B,20-08-2021,Fintech,Chatham,United States,North America,2012,$551M,"Point72 Ventures, Route 66 Ventures, Accel",2021,9,3,0.551,Medium Funding,5.444646098
Flink Food,$3B,01-12-2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2021,$1B,"Mubadala Capital, Bond, Prosus Ventures",2021,0,3,1,Medium Funding,3
PsiQuantum,$3B,27-07-2021,Hardware,Palo Alto,United States,North America,2016,$665M,"Playground Global, M12, BlackRock",2021,5,3,0.665,Medium Funding,4.511278195
SpotOn,$3B,26-05-2021,Fintech,San Francisco,United States,North America,2017,$628M,"Dragoneer Investment Group, DST Global, Franklin Templeton",2021,4,3,0.628,Medium Funding,4.777070064
Gorillas,$3B,25-03-2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,$1B,"Coatue Management, Atlantic Food Labs, DST Global",2021,1,3,1,Medium Funding,3
HighRadius,$3B,07-01-2020,Fintech,Houston,United States,North America,2006,$475M,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",2020,14,3,0.475,Low Funding,6.315789474
Loft,$3B,03-01-2020,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2018,$788M,"Monashees+, Andreessen Horowitz, QED Investors",2020,2,3,0.788,Medium Funding,3.807106599
Nuvemshop,$3B,17-08-2021,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2011,$628M,"Kaszek Ventures, Qualcomm Ventures, Accel",2021,10,3,0.628,Medium Funding,4.777070064
Udaan,$3B,04-09-2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2016,$1B,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",2018,2,3,1,Medium Funding,3
Workrise,$3B,30-09-2019,Internet software & services,Austin,United States,North America,2014,$722M,"Founders Fund, Quantum Energy Partners, Bedrock Capital",2019,5,3,0.722,Medium Funding,4.155124654
ActiveCampaign,$3B,21-04-2021,Internet software & services,Chicago,United States,North America,2003,$360M,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",2021,18,3,0.36,Low Funding,8.333333333
Age of Learning,$3B,03-05-2016,Edtech,Glendale,United States,North America,2007,$500M,Iconiq Capital,2016,9,3,0.5,Medium Funding,6
Amber Group,$3B,21-06-2021,Fintech,,Hong Kong,Asia,2015,$328M,"Tiger Global Management, Tiger Brokers, DCM Ventures",2021,6,3,0.328,Low Funding,9.146341463
Anchorage Digital,$3B,15-12-2021,Fintech,San Francisco,United States,North America,2017,$487M,"Andreessen Horowitz, Blockchain Capital, Lux Capital",2021,4,3,0.487,Low Funding,6.160164271
BlockFi,$3B,11-03-2021,Fintech,Jersey City,United States,North America,2017,$1B,"ConsenSys Ventures, Valar Ventures, PUC",2021,4,3,1,Medium Funding,3
Calendly,$3B,26-01-2021,Internet software & services,Atlanta,United States,North America,2013,$351M,"ICONIQ Capital, OpenView Venture Partners",2021,8,3,0.351,Low Funding,8.547008547
Carbon Health,$3B,21-07-2021,Health,San Francisco,United States,North America,2015,$523M,"Brookfield Asset Management, Blackstone, Data Collective",2021,6,3,0.523,Medium Funding,5.736137667
Circle,$3B,15-05-2018,Fintech,Boston,United States,North America,2013,$711M,"General Catalyst, Digital Currency Group, Accel",2018,5,3,0.711,Medium Funding,4.219409283
CMR Surgical,$3B,17-09-2019,Health,Cambridge,United Kingdom,Europe,2014,$975M,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",2019,5,3,0.975,Medium Funding,3.076923077
Contentful,$3B,28-07-2021,Internet software & services,Berlin,Germany,Europe,2013,$333M,"Balderton Capital, General Catalyst, Tiger Global Management",2021,8,3,0.333,Low Funding,9.009009009
Cross River Bank,$3B,11-02-2022,Fintech,Fort Lee,United States,North America,2008,$775M,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",2022,14,3,0.775,Medium Funding,3.870967742
Delhivery,$3B,27-02-2019,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2011,$1B,"Times Internet, Nexus Venture Partners, SoftBank Group",2019,8,3,1,Medium Funding,3
FlixBus,$3B,18-07-2019,Auto & transportation,Munich,Germany,Europe,2013,$1B,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",2019,6,3,1,Medium Funding,3
Flutterwave,$3B,09-03-2021,Fintech,San Francisco,United States,North America,2016,$474M,"Green Visor Capital, CRE Venture Capital, Greycroft",2021,5,3,0.474,Low Funding,6.329113924
Forter,$3B,19-11-2020,Cybersecurity,New York,United States,North America,2013,$525M,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",2020,7,3,0.525,Medium Funding,5.714285714
Grafana Labs,$3B,25-03-2021,Internet software & services,New York,United States,North America,2014,$535M,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",2021,7,3,0.535,Medium Funding,5.607476636
Groww,$3B,07-04-2021,Fintech,Bengaluru,India,Asia,2017,$393M,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",2021,4,3,0.393,Low Funding,7.633587786
Inxeption,$3B,13-01-2022,Fintech,San Francisco,United States,North America,2017,$187M,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",2022,5,3,0.187,Low Funding,16.04278075
KK Group,$3B,23-10-2019,E-commerce & direct-to-consumer,Dongguan,China,Asia,2014,$612M,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",2019,5,3,0.612,Medium Funding,4.901960784
Lattice,$3B,23-03-2021,Internet software & services,San Francisco,United States,North America,2015,$329M,"Khosla Ventures, Thrive Capital, Y Combinator",2021,6,3,0.329,Low Funding,9.118541033
LaunchDarkly,$3B,10-08-2021,Internet software & services,Oakland,United States,North America,2014,$330M,"Uncork Capital, Threshold Ventures, Bloomberg Beta",2021,7,3,0.33,Low Funding,9.090909091
Lucid,$3B,29-06-2021,Internet software & services,South Jordan,United States,North America,2010,$170M,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",2021,11,3,0.17,Low Funding,17.64705882
Outschool,$3B,14-04-2021,Edtech,San Francisco,United States,North America,2015,$240M,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",2021,6,3,0.24,Low Funding,12.5
Podium,$3B,07-04-2020,Internet software & services,Lehi,United States,North America,2014,$419M,"Accel, Summit Partners, Google Ventures",2020,6,3,0.419,Low Funding,7.159904535
Remote,$3B,13-07-2021,Fintech,San Francisco,United States,North America,2016,$496M,"Index Ventures, Sequoia Capital, General Catalyst",2021,5,3,0.496,Low Funding,6.048387097
Seismic,$3B,18-12-2018,Internet software & services,San Diego,United States,North America,2010,$427M,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",2018,8,3,0.427,Low Funding,7.025761124
Sky Mavis,$3B,04-10-2021,Internet software & services,Ho Chi Minh City,Vietnam,Asia,2019,$311M,"Fabric Ventures, 500 Global, Standard Crypto",2021,2,3,0.311,Low Funding,9.646302251
SouChe Holdings,$3B,01-11-2017,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2012,$1B,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",2017,5,3,1,Medium Funding,3
TradingView,$3B,14-10-2021,Fintech,Westerville,United States,North America,2011,$339M,"Tiger Global Management, Insight Partners, Jump Capital",2021,10,3,0.339,Low Funding,8.849557522
Traveloka,$3B,01-01-2017,Travel,Jakarta,Indonesia,Asia,2012,$1B,"Global Founders Capital, East Ventures, Expedia Inc.",2017,5,3,1,Medium Funding,3
wefox,$3B,05-03-2019,Fintech,Berlin,Germany,Europe,2014,$919M,"Salesforce Ventures, Seedcamp, OMERS Ventures",2019,5,3,0.919,Medium Funding,3.264417845
Wildlife Studios,$3B,05-12-2019,Other,Sao Paulo,Brazil,South America,2011,$180M,"Benchmark, Bessemer Venture Partners",2019,8,3,0.18,Low Funding,16.66666667
1047 Games,$2B,14-09-2021,Internet software & services,Zephyr Cove,United States,North America,2017,$127M,"VGames, Lakestar, Galaxy Interactive",2021,4,2,0.127,Low Funding,15.7480315
Baiwang,$2B,25-03-2019,Fintech,Beijing,China,Asia,2015,$224M,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital",2019,4,2,0.224,Low Funding,8.928571429
Boba,$2B,05-04-2022,Fintech,San Francisco,United States,North America,2018,$45M,"DeFi Technologies, Hypersphere Ventures, M13",2022,4,2,0.045,Low Funding,44.44444444
Bought By Many,$2B,01-06-2021,Fintech,London,United Kingdom,Europe,2012,$477M,"Octopus Ventures, Munich Re Ventures, CommerzVentures",2021,9,2,0.477,Low Funding,4.192872117
Cambridge Mobile Telematics,$2B,19-12-2018,Mobile & telecommunications,Cambridge,United States,North America,2010,$503M,SoftBank Group,2018,8,2,0.503,Medium Funding,3.976143141
Carzone,$2B,01-03-2019,E-commerce & direct-to-consumer,Jiangsu,China,Asia,1995,$946M,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital",2019,24,2,0.946,Medium Funding,2.114164905
CFGI,$2B,15-09-2021,Fintech,Boston,United States,North America,2000,$19M,"The Carlyle Group, CVC Capital Partners",2021,21,2,0.019,Low Funding,105.2631579
Cgtz,$2B,21-02-2017,Fintech,Hangzhou,China,Asia,2014,$536M,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",2017,3,2,0.536,Medium Funding,3.731343284
Changingedu,$2B,30-10-2017,Edtech,Shanghai,China,Asia,2014,$188M,"Trustbridge Partners, IDG Capital, Sequoia Capital China",2017,3,2,0.188,Low Funding,10.63829787
eDaili,$2B,01-02-2019,E-commerce & direct-to-consumer,Shanghai,China,Asia,2015,$101M,"K2VC, Lightspeed China Partners, Sky9 Capital",2019,4,2,0.101,Low Funding,19.8019802
ENOVATE,$2B,15-04-2019,Auto & transportation,Shanghai,China,Asia,2015,$1B,Automobile Industry Guidance Fund,2019,4,2,1,Medium Funding,2
Fenbi Education,$2B,07-02-2021,Edtech,Beijing,China,Asia,2015,$390M,"Trustbridge Partners, Hony Capital, IDG Capital",2021,6,2,0.39,Low Funding,5.128205128
Hesai Tech,$2B,01-08-2020,Artificial intelligence,Shanghai,China,Asia,2013,$717M,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners",2020,7,2,0.717,Medium Funding,2.789400279
Il Makiage,$2B,10-01-2022,E-commerce & direct-to-consumer,New York,United States,North America,2018,$29M,"L Catterton, Franklin Templeton, First Light Capital Group",2022,4,2,0.029,Low Funding,68.96551724
Iluvatar CoreX,$2B,01-03-2021,Hardware,Shanghai,China,Asia,2015,$186M,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital",2021,6,2,0.186,Low Funding,10.75268817
Jusfoun Big Data,$2B,09-07-2018,Data management & analytics,Beijing,China,Asia,2010,$137M,"Boxin Capital, DT Capital Partners, IDG Capital",2018,8,2,0.137,Low Funding,14.59854015
Pagaya,$2B,17-06-2020,Fintech,Tel Aviv,Israel,Asia,2015,$417M,"Oak HC/FT Partners, GF Investments, Harvey Golub Family Office",2020,5,2,0.417,Low Funding,4.79616307
PolicyBazaar,$2B,06-05-2019,Fintech,Gurgaon,India,Asia,2008,$634M,"Info Edge, Softbank Capital",2019,11,2,0.634,Medium Funding,3.154574132
Promasidor Holdings,$2B,08-11-2016,Consumer & retail,Bryanston,South Africa,Asia,1979,$556M,"IFC, Ajinomoto",2016,37,2,0.556,Medium Funding,3.597122302
Tubatu.com,$2B,09-03-2015,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,$216M,"Sequoia Capital China, Matrix Partners China, 58.com",2015,7,2,0.216,Low Funding,9.259259259
Ximalaya FM,$2B,22-09-2017,Mobile & telecommunications,Shanghai,China,Asia,2012,$71M,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management",2017,5,2,0.071,Low Funding,28.16901408
HEYTEA,$2B,01-07-2019,Other,Shenzhen,China,Asia,2012,$594M,"Sequoia Capital China, Tencent Investment, BA Capital",2019,7,2,0.594,Medium Funding,3.367003367
BGL Group,$2B,24-11-2017,Fintech,Peterborough,United Kingdom,Europe,1992,$696M,CPP Investment Board,2017,25,2,0.696,Medium Funding,2.873563218
Claroty,$2B,17-06-2021,Cybersecurity,New York,United States,North America,2015,$640M,"Bessemer Venture Partners, MoreVC, Team8",2021,6,2,0.64,Medium Funding,3.125
Improbable,$2B,11-05-2017,Other,London,United Kingdom,Europe,2012,$754M,"Andreessen Horowitz, SoftBank Group, Temasek Holdings",2017,5,2,0.754,Medium Funding,2.652519894
InMobi,$2B,02-12-2014,Mobile & telecommunications,Bengaluru,India,Asia,2007,$221M,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures",2014,7,2,0.221,Low Funding,9.049773756
MindMaze,$2B,28-01-2016,Health,Lausanne,Switzerland,Europe,2012,$340M,Hinduja Group,2016,4,2,0.34,Low Funding,5.882352941
Ninja Van,$2B,27-09-2021,"Supply chain, logistics, & delivery",,Singapore,Asia,2014,$975M,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution",2021,7,2,0.975,Medium Funding,2.051282051
Pantheon Systems,$2B,13-07-2021,Internet software & services,San Francisco,United States,North America,2010,$200M,"Foundry Group, Scale Venture Partners, SoftBank Group",2021,11,2,0.2,Low Funding,10
SellerX,$2B,09-12-2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,$766M,"Cherry Ventures, Felix Capital, 83North",2021,1,2,0.766,Medium Funding,2.610966057
AppDirect,$2B,07-10-2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2009,$431M,"Mithril, iNovia Capital, Foundry Group",2015,6,2,0.431,Low Funding,4.64037123
BrewDog,$2B,10-04-2017,Consumer & retail,Aberdeen,United Kingdom,Europe,2007,$233M,"TSG Consumer Partners, Crowdcube",2017,10,2,0.233,Low Funding,8.583690987
Enflame,$2B,05-01-2021,Hardware,Shanghai,China,Asia,2018,$472M,"Tencent Holdings, Delta Capital, Redpoint Ventures China",2021,3,2,0.472,Low Funding,4.237288136
Tradeshift,$2B,30-05-2018,Fintech,San Francisco,United States,North America,2009,$861M,"Notion Capital, Scentan Ventures, Kite Ventures",2018,9,2,0.861,Medium Funding,2.322880372
HeartFlow,$2B,04-12-2017,Health,Redwood City,United States,North America,2007,$568M,"BlueCross BlueShield Venture Partners, US Venture Partners",2017,10,2,0.568,Medium Funding,3.521126761
Extend,$2B,18-05-2021,Fintech,San Francisco,United States,North America,2004,$320M,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures",2021,17,2,0.32,Low Funding,6.25
Airbyte,$2B,17-12-2021,Internet software & services,San Francisco,United States,North America,2020,$181M,"Accel, Benchmark, SV Angel",2021,1,2,0.181,Low Funding,11.04972376
Andela,$2B,29-09-2021,Internet software & services,New York,United States,North America,2014,$381M,"Spark Capital, Google Ventures, CRE Venture Capital",2021,7,2,0.381,Low Funding,5.249343832
Ascend Money,$2B,27-09-2021,Fintech,Bangkok,Thailand,Asia,2013,$150M,"Ant Group, Charoen Pokphand Group, Bow Wave Capital",2021,8,2,0.15,Low Funding,13.33333333
Athelas,$2B,31-01-2022,Health,Mountain View,United States,North America,2016,$150M,"Sequoia Capital, General Catalyst, Human Capital",2022,6,2,0.15,Low Funding,13.33333333
Built,$2B,30-09-2021,Internet software & services,Nashville,United States,North America,2015,$289M,"Nyca Partners, Index Ventures, Technology Crossover Ventures",2021,6,2,0.289,Low Funding,6.920415225
candy.com,$2B,21-10-2021,Fintech,New York,United States,North America,2021,$100M,"Insight Partners, Softbank Group, Connect Ventures",2021,0,2,0.1,Low Funding,20
Cognite,$2B,19-05-2021,Data management & analytics,Lysaker,Norway,Europe,2016,$225M,"Technology Crossover Ventures, Accel, Aker",2021,5,2,0.225,Low Funding,8.888888889
CoinList,$2B,15-10-2021,Fintech,San Francisco,United States,North America,2017,$119M,"Accomplice, Polychain Capital, GoldenTree Asset Management",2021,4,2,0.119,Low Funding,16.80672269
Collective Health,$2B,17-06-2019,Fintech,San Francisco,United States,North America,2013,$719M,"New Enterprise Associates, Founders Fund, Google Ventures",2019,6,2,0.719,Medium Funding,2.781641168
Culture Amp,$2B,29-07-2021,Internet software & services,Richmond,Australia,Oceania,2011,$257M,"Felicis Ventures, Index Ventures, Blackbird Ventures",2021,10,2,0.257,Low Funding,7.782101167
Devo,$2B,26-10-2021,Data management & analytics,Cambridge,United States,North America,2011,$381M,"Insight Partners, Kibo Ventures, Bessemer Venture Partners",2021,10,2,0.381,Low Funding,5.249343832
ElasticRun,$2B,07-02-2022,"Supply chain, logistics, & delivery",Pune,India,Asia,2016,$435M,"Kalaari Capital, Norwest Venture Partners, Prosus Ventures",2022,6,2,0.435,Low Funding,4.597701149
Gett,$2B,24-05-2016,Auto & transportation,London,United Kingdom,Europe,2010,$828M,"Volkswagen, Access Industries, Vostok New Ventures",2016,6,2,0.828,Medium Funding,2.415458937
ID.me,$2B,19-03-2021,Cybersecurity,McLean,United States,North America,2010,$142M,"Moonshots Capital, BoxGroup, Blu Venture Investors",2021,11,2,0.142,Low Funding,14.08450704
impact.com,$2B,13-07-2021,Internet software & services,Santa Barbara,United States,North America,2008,$261M,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners",2021,13,2,0.261,Low Funding,7.662835249
Ledger,$2B,10-06-2021,Hardware,Paris,France,Europe,2014,$466M,"Digital Currency Group, Draper Esprit, Korelya Capital",2021,7,2,0.466,Low Funding,4.291845494
Lusha,$2B,10-11-2021,Internet software & services,New York,United States,North America,2016,$245M,"PSG, ION Crossover Partners",2021,5,2,0.245,Low Funding,8.163265306
Matillion,$2B,15-09-2021,Data management & analytics,Altrincham,United Kingdom,Europe,2011,$310M,"Scale Venture Partners, Sapphire Ventures, Battery Ventures",2021,10,2,0.31,Low Funding,6.451612903
MOLOCO,$2B,29-04-2021,Artificial intelligence,Redwood City,United States,North America,2013,$192M,"Smilegate Investment, DSC Investments, KTB Ventures",2021,8,2,0.192,Low Funding,10.41666667
Mu Sigma,$2B,07-02-2013,Data management & analytics,Northbrook,United States,North America,2004,$211M,"Sequoia Capital, General Atlantic",2013,9,2,0.211,Low Funding,9.478672986
Next Silicon,$2B,14-06-2021,Hardware,Tel Aviv,Israel,Asia,2018,$203M,"Amiti Ventures, Playground Global, Aleph",2021,3,2,0.203,Low Funding,9.852216749
NotCo,$2B,26-07-2021,Artificial Intelligence,Santiago,Chile,South America,2015,$370M,"Kaszek Ventures, SOSV, Tiger Global Management",2021,6,2,0.37,Low Funding,5.405405405
Olist,$2B,15-12-2021,E-commerce & direct-to-consumer,Curitiba,Brazil,South America,2015,$320M,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund",2021,6,2,0.32,Low Funding,6.25
Pacaso,$2B,24-03-2021,Fintech,Cincinnati,United States,North America,2020,$217M,"Global Founders Capital, Shea Ventures, Greycroft",2021,1,2,0.217,Low Funding,9.216589862
Paradox,$2B,27-12-2021,Internet software & services,Scottsdale,United States,North America,2016,$253M,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures",2021,5,2,0.253,Low Funding,7.90513834
Persona,$2B,15-09-2021,Cybersecurity,San Francisco,United States,North America,2018,$218M,"Coatue Management, Index Ventures, Founders Fund",2021,3,2,0.218,Low Funding,9.174311927
SmartRecruiters,$2B,20-07-2021,Internet software & services,San Francisco,United States,North America,2010,$225M,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners",2021,11,2,0.225,Low Funding,8.888888889
Snapdocs,$2B,25-05-2021,Fintech,San Francisco,United States,North America,2012,$253M,"Sequoia Capital, Y Combinator, F-Prime Capital",2021,9,2,0.253,Low Funding,7.90513834
Solugen,$2B,10-09-2021,Other,Houston,United States,North America,2016,$435M,"Fifty Years Fund, Refactor Capital, Temasek",2021,5,2,0.435,Low Funding,4.597701149
StoreDot,$2B,04-01-2022,Other,Herzliya,Israel,Asia,2012,$190M,"Samsung Ventures, SingulariTeam, BP Ventures",2022,10,2,0.19,Low Funding,10.52631579
Strava,$2B,16-11-2020,Internet software & services,San Francisco,United States,North America,2009,$152M,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital",2020,11,2,0.152,Low Funding,13.15789474
Temporal,$2B,16-02-2022,Internet software & services,Bellevue,United States,North America,2019,$129M,"Amplify Partners, Addition, Madrona Venture Group",2022,3,2,0.129,Low Funding,15.50387597
TuJia,$2B,17-06-2015,Travel,Beijing,China,Asia,2011,$755M,"GGV Capital, QiMing Venture Partnersl",2015,4,2,0.755,Medium Funding,2.649006623
Uplight,$2B,03-03-2021,Other,Boulder,United States,North America,2019,Unknown,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners",2021,2,2,,Unknown,0
